symbol,fiscaldate_end,reported_currency,gross_profit,total_revenue,costof_revenue,costof_goodservices_sold,operating_income,selling_gen_admin,research_dev,operating_expenses,investment_income_net,netInterestIncome,interest_income,interest_expense,noninterest_income,othernon_operatingincome,depreciation,dpr_and_amort,income_beforetax,incometax_expense,interest_debt_expense,netincome_cont_operations,comprehensive_income_netoftax,ebit,ebitda,netincome
ABCM,9/30/2020,GBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050000,0,0,0,0,0,0
ABNB,12/31/2020,USD,649517000,859264000,209747000,209747000,-3085794000,1343584000,2062195000,3945058000,0,-60853000,3287000,64140000,0,0,0,0,-3992502000,-104651000,0,-3887851000,0,-3895924000,0,-3887851000
ABST,9/30/2020,USD,25380150,28495557,3115407,3115407,4198883,16119574,5061693,24296674,0,-116713,21936,138649,0,0,0,0,3895944,1294000,0,2601944,0,5390617,0,2601944
ACCD,5/31/2020,USD,22493000,44441000,21948000,21948000,-12625000,12877000,11370000,48519000,0,-1282000,0,1282000,0,0,0,0,-13922000,38000,0,-13960000,0,896000,0,-13960000
ACI,6/20/2020,USD,6771500000,22751600000,15980100000,0,971800000,5769400000,0,5769400000,0,-180600000,0,0,0,-3100000,0,0,788100000,201900000,0,586200000,587900000,971800000,0,586200000
ADCT,3/31/2020,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000,0,0,0,0,0,0
ADTX,6/30/2020,USD,0,0,0,0,-398480,370186,28294,398480,0,-135837,0,135837,0,0,0,0,-534317,0,0,-534317,0,-398480,0,-534317
AFYA,6/30/2019,BRL,96210000,178493000,82283000,82283000,37202000,59584000,0,59008000,0,-16755000,1410000,15721000,0,0,0,0,23051000,1725000,0,21326000,0,28287000,0,16317000
AGBA,3/31/2019,USD,0,0,0,0,-10020,10020,0,10020,0,5,5,0,0,0,0,0,-10015,0,0,-10015,0,-10020,0,-10015
AIH,9/30/2019,CNY,164348000,237892000,73544000,73544000,7493000,156855000,0,230399000,0,-6222000,115308000,6222000,0,0,0,0,123314000,4551000,0,118763000,0,129536000,0,115674000
AI,10/31/2020,USD,31260000,41341000,10081000,10081000,-14524000,29650000,16134000,55865000,0,288000,288000,0,0,0,0,0,-14814000,130000,0,-14944000,0,-13454000,0,-14944000
