symbol,fiscaldate_end,reported_currency,gross_profit,total_revenue,costof_revenue,costof_goodservices_sold,operating_income,selling_gen_admin,research_dev,operating_expenses,investment_income_net,net_interest_income,interest_income,interest_expense,noninterest_income,othernon_operatingincome,depreciation,dpr_and_amort,income_beforetax,incometax_expense,interest_debt_expense,netincome_cont_operations,comprehensive_income_netoftax,ebit,ebitda,netincome
ACCD,5/31/2020,USD,22493000,44441000,21948000,21948000,-12625000,12877000,11370000,48519000,0,-1282000,0,1282000,0,0,0,0,-13922000,38000,0,-13960000,0,896000,0,-13960000
ACCD,2/29/2020,USD,22493000,44441000,21948000,21948000,-1196000,12877000,8711000,45637000,0,-854000,0,854000,0,0,0,0,-2059000,80000,0,-2139000,0,896000,0,-2139000
ACCD,11/30/2019,USD,12887000,29651000,16764000,16764000,-17440000,13627000,11046000,47092000,0,-827000,-827000,827000,0,0,0,0,-18285000,12000,0,-18297000,0,-12089000,0,-18297000
ACCD,8/31/2019,USD,11328000,28763000,17435000,17435000,-14265000,13225000,11303000,43916000,0,-701000,0,701000,0,0,0,0,-15012000,0,0,-15026000,0,-13177000,0,-15026000
ACCD,5/31/2019,USD,11328000,28763000,17435000,17435000,-15303000,13225000,11246000,44066000,0,-543000,0,543000,0,0,0,0,-15880000,23000,0,-15903000,0,-13177000,0,-15903000
ACCD,2/28/2019,USD,12114000,29652000,17538000,17538000,-6148000,16475000,0,0,0,0,-731000,0,0,0,0,0,-6894000,55000,0,0,0,-15425000,0,-6949000
ACCD,11/30/2018,USD,5004000,21036000,16032000,16032000,-18418000,20730000,0,0,0,0,-498000,0,0,0,0,0,-18944000,0,0,0,0,0,0,-18944000
ACI,12/5/2020,USD,4508600000,15284400000,10900300000,10900300000,258500000,4309100000,0,4309100000,0,-115900000,-115900000,115900000,15400300000,19200000,0,0,153200000,29500000,8600000,123700000,124200000,258500000,0,123700000
ACI,9/12/2020,USD,4574900000,15757600000,11182700000,0,562000000,4031200000,0,4031200000,0,-128600000,0,0,15708500000,11400000,0,0,395700000,111200000,49100000,284500000,294900000,562000000,0,284500000
ACI,6/20/2020,USD,6771500000,22751600000,15980100000,0,971800000,5769400000,0,5769400000,0,-180600000,0,0,0,-3100000,0,0,788100000,201900000,0,586200000,587900000,971800000,0,586200000
ACI,2/29/2020,USD,4418000000,15390300000,11018800000,11018800000,326600000,4093500000,0,4059900000,0,-140500000,442400000,582900000,0,-50400000,0,376100000,90100000,22300000,517100000,200600000,-136300000,326600000,702700000,67800000
ACI,11/30/2019,USD,3995100000,13974900000,10108100000,10108100000,206600000,3807200000,0,3827800000,0,-154800000,-136600000,18200000,0,15900000,0,20600000,67700000,12900000,18200000,54800000,60300000,206600000,227200000,54800000
ACI,9/7/2019,USD,3941500000,14176700000,10235200000,10235200000,582400000,3794600000,0,3390500000,0,-177500000,-159000000,18500000,0,-5100000,0,20900000,376700000,81900000,41600000,294800000,285500000,582400000,603300000,294800000
ACI,6/15/2019,USD,5239600000,18738400000,13498800000,0,321500000,4918100000,0,4946700000,0,-225200000,-199700000,25500000,0,11100000,0,28600000,64700000,15700000,68200000,49000000,47100000,321500000,350100000,49000000
ACI,2/23/2019,USD,4058700000,13924800000,9957900000,10108100000,288400000,3770300000,0,4352200000,0,-168300000,-168300000,0,0,16100000,0,0,137000000,1400000,779300000,135600000,34800000,288400000,0,135600000
ACI,12/1/2018,USD,3852400000,13617900000,9988000000,0,174400000,3678000000,0,3678000000,0,-213000000,0,0,0,28300000,0,0,-19800000,-65400000,9500000,45600000,45500000,174400000,0,45600000
ACI,9/8/2018,USD,3812800000,14024100000,10211300000,0,131400000,3681400000,0,3681400000,0,-194900000,0,0,0,19200000,0,0,-44300000,-11900000,0,-32400000,-37200000,131400000,0,-32400000
ACI,6/16/2018,USD,5170700000,18653400000,13482700000,0,193100000,4977600000,0,0,0,-254600000,0,0,0,40800000,0,0,-20700000,-3000000,0,-17700000,-11800000,193100000,0,-17700000
ACI,2/24/2018,USD,3948300000,14033700000,10085400000,0,213300000,3714700000,0,0,0,-195600000,0,0,0,-22400000,0,0,15300000,-373000000,0,0,552900000,213300000,0,388300000
ACI,12/2/2017,USD,3624600000,13599200000,9974600000,0,-95000000,3725700000,0,0,0,-193900000,0,0,0,-15400000,0,0,-305400000,-523500000,0,0,223300000,-95000000,0,218100000
ACI,9/9/2017,USD,3729700000,13831700000,10102000000,0,-213800000,3807200000,0,0,0,-214800000,0,0,0,11700000,0,0,-422900000,-67700000,0,0,-349000000,-213800000,0,-355200000
ACI,6/17/2017,USD,5058500000,18460000000,13401500000,0,90600000,4976100000,0,0,0,-270500000,0,0,0,-16400000,0,0,-204500000,400000,0,0,-177000000,90600000,0,-204900000
ACKIT,9/30/2020,USD,0,0,0,0,-2846,2846,0,2846,0,0,0,0,0,0,0,0,-2846,0,0,-2846,0,-2846,0,-2846
ACKIT,12/31/2019,USD,0,0,0,0,-2461,2461,0,2461,0,0,0,0,0,0,0,0,-2461,0,0,-2461,0,-2461,0,-2461
ADCT,12/31/2020,USD,0,0,0,0,-78001000,29449000,48552000,78001000,0,-1947000,100000,2047000,0,0,0,0,-55803000,126000,0,-55929000,0,-52937000,0,-55929000
ADCT,9/30/2020,USD,0,0,0,0,-52428000,20273000,32155000,52428000,0,-1777000,163000,1940000,0,0,0,0,-20331000,-3000,0,-20328000,0,-17902000,0,-20328000
ADCT,6/30/2020,USD,0,0,0,0,-44949000,18999000,25950000,44949000,0,-702000,195000,897000,0,0,0,0,-126453000,104000,0,-126557000,0,-125556000,0,-126557000
ADCT,3/31/2020,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000,0,0,0,0,0,0
ADCT,12/31/2019,USD,0,0,0,0,-35732000,4920000,30424000,35732000,0,167000,218000,51000,0,0,0,0,-35170000,191500,0,-35285000,0,-34622000,0,-35285000
ADCT,9/30/2019,USD,0,0,0,0,-32843000,2302000,30541000,32843000,0,697000,729000,32000,0,0,0,0,-31073000,268000,0,-31341000,0,-30687000,0,-31341000
ADCT,6/30/2019,USD,-22116000,2340000,23286000,23286000,-50824000,6592000,21760000,26582000,0,623000,1165000,-36500,0,0,0,0,-49659000,99500,0,-24929000,0,-25412000,0,-49858000
ADCT,3/31/2019,USD,-22116000,1170000,23286000,23286000,-25412000,3296000,0,26582000,0,0,0,-36500,0,0,0,0,-24829500,99500,0,-24929000,0,-25412000,0,-24929000
ADCT,12/31/2018,USD,0,1140000,0,0,-125941000,8768000,0,0,0,0,3069000,0,0,0,0,0,-122872000,0,0,0,0,0,0,-123096000
ADCT,6/30/2018,USD,-29640500,625000,29953000,29953000,-63477000,3969000,0,31937500,0,0,1797000,-36500,0,0,0,0,-61680000,74000,0,-30914000,0,-31625000,0,-61828000
ADCT,3/31/2018,USD,-29640500,312500,29953000,29953000,-31625000,1984500,0,31937500,0,0,0,-36500,0,0,0,0,-30840000,74000,0,-30914000,0,-31625000,0,-30914000
ADCT,9/30/2010,USD,0,312600000,184600000,184600000,16500000,96400000,20300000,0,0,0,0,6900000,0,0,0,0,14600000,3000000,0,0,0,0,0,10600000
ADCT,6/30/2010,USD,0,304400000,176200000,176200000,25000000,88000000,16200000,0,0,0,0,6900000,0,0,0,0,77700000,1900000,0,0,0,0,0,75800000
ADCT,3/31/2010,USD,0,274000000,158500000,158500000,13200000,86700000,16900000,0,0,0,0,6900000,0,0,0,0,0,800000,0,0,0,0,0,0
ADCT,12/31/2009,USD,0,265600000,157900000,157900000,5200000,86900000,16300000,0,0,0,0,6700000,0,0,0,0,5000000,1400000,0,0,0,0,0,0
ADCT,6/30/2009,USD,0,283400000,168500000,168500000,18500000,80200000,17300000,0,0,0,0,6600000,0,0,0,0,6000000,400000,0,0,0,0,0,0
ADCT,3/31/2009,USD,0,275100000,167000000,167000000,5600000,84500000,18400000,0,0,0,0,6700000,0,0,0,0,0,1400000,0,0,0,0,0,0
ADCT,12/31/2008,USD,0,254300000,154600000,154600000,0,90900000,19000000,0,0,0,0,8000000,0,0,0,0,0,0,0,0,0,0,0,0
ADCT,9/30/2008,USD,0,352300000,220600000,220600000,11000000,99800000,20500000,0,0,0,0,6900000,0,0,0,0,0,0,0,0,0,0,0,0
ADCT,6/30/2008,USD,0,381800000,230300000,230300000,25900000,104700000,21700000,0,0,0,0,7600000,0,0,0,0,16300000,2900000,0,0,0,0,0,15100000
ADCT,3/31/2008,USD,0,393200000,231300000,231300000,34800000,106700000,21800000,0,0,0,0,8100000,0,0,0,0,17900000,1900000,0,0,0,0,0,16300000
ADPT,12/31/2020,USD,23963000,30185000,6222000,6222000,-44239000,31943000,35831000,68202000,0,785000,785000,0,30185000,0,1924000,428000,-140054000,-95484000,0,51245000,-45104000,-44239000,-43811000,-44570000
ADPT,9/30/2020,USD,20246000,26299000,6053000,6053000,-37049000,26553000,30314000,57295000,0,1018000,1018000,0,26299000,0,1716000,428000,-36031000,688000,0,-37737000,-37445000,-37049000,-36621000,-36719000
ADPT,6/30/2020,USD,16076000,20988000,4912000,4912000,-36909000,26570000,25992000,52985000,0,1893000,1893000,0,0,0,1575000,423000,-35016000,-1481000,0,-35428000,-34695000,-36909000,-36486000,-33535000
ADPT,3/31/2020,USD,-5343000,20910000,5343000,5343000,-34620000,25828000,23935000,50187000,0,2894000,2894000,0,0,0,1554000,424000,-31726000,-323000,0,-34297000,-28761000,-34620000,-34196000,-31403000
ADPT,12/31/2019,USD,-67129000,23893000,5951000,5951000,-24188000,20829000,21189000,42762000,0,3577000,3577000,0,0,0,1647000,428000,-20611000,0,0,3912000,-20512000,-24188000,-23760000,-20611000
ADPT,9/30/2019,USD,20457000,26058000,5601000,5601000,-18053000,17576000,20506000,38510000,0,4103000,4103000,0,0,0,1635000,428000,-13950000,0,0,-18053000,-13760000,-18053000,-17625000,-13950000
ADTX,9/30/2020,USD,0,0,0,0,-2744538,2458725,285813,2744538,0,116,116,0,0,0,0,0,-2744422,0,0,-2744422,0,-2744422,0,-2744422
ADTX,6/30/2020,USD,0,0,0,0,-398480,370186,28294,398480,0,-135837,0,135837,0,0,0,0,-534317,0,0,-534317,0,-398480,0,-534317
ADTX,3/31/2020,USD,0,0,0,0,-1056798,856427,200371,1056798,0,-165065,0,165065,0,0,0,0,-1189363,0,0,-1189363,0,-1024298,0,-1189363
ADTX,12/31/2019,USD,0,0,0,0,-990635,923643,66992,990635,0,-449,-450,449,0,0,0,0,-991084,0,0,-991084,0,-990635,0,-991084
ADTX,9/30/2019,USD,0,0,0,0,-1079949,1060346,19603,1079949,0,-454,0,454,0,0,0,0,-1080403,0,0,-1080403,0,-1079949,0,-1080403
ADTX,6/30/2019,USD,0,0,0,0,-2555525,2511547,43978,2555525,0,-448,0,448,0,0,0,0,-2555973,0,0,-2555973,0,-2555525,0,-2555973
ADTX,3/31/2019,USD,0,0,0,0,0,1199821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADTX,12/31/2018,USD,0,0,0,0,-492610,493198,0,0,0,0,-8300,0,0,0,0,0,-500910,0,0,0,0,0,0,-500910
AFIB,12/31/2020,USD,-1159000,3732000,4891000,4891000,-28006000,15164000,8962000,45744000,0,-1416000,43000,1416000,5148000,0,1009000,304000,-29379000,23000,1416000,-29402000,-29189000,-28006000,-27702000,-29402000
AFIB,9/30/2020,USD,-161000,4980000,5141000,5141000,-26262000,15833000,8343000,45268000,0,-1366000,23000,1366000,6346000,0,800000,301000,-31288000,0,1366000,-31288000,-31219000,-26262000,-25961000,-31288000
AFYA,9/30/2020,BRL,197118000,309410000,112292000,112292000,94290000,104105000,0,215120000,0,-16348000,4142000,16891000,0,0,0,0,84265000,4690000,0,79575000,0,127555000,0,74832000
AFYA,6/30/2020,BRL,167528000,274211000,106683000,106683000,76619000,90039000,0,90728000,0,-19057000,1810000,15764000,0,0,0,0,70227000,6341000,0,63886000,0,92167000,0,60679000
AFYA,3/31/2020,BRL,183053000,272304000,89251000,89251000,96271000,86723000,0,86782000,0,11154000,30013000,18859000,0,0,0,0,109727000,6057000,0,103670000,0,148130000,0,99816000
AFYA,12/31/2019,BRL,135990000,220846000,84856000,84856000,53851000,77042000,0,75338000,0,-34307000,-28161000,556000,0,0,0,0,57449000,4473000,0,52976000,0,77713000,0,49797000
AFYA,9/30/2019,BRL,119363000,206713000,87350000,87350000,48623000,71260000,0,70740000,0,5066000,29652000,24586000,0,0,0,0,54732000,5748000,0,48984000,0,83932000,0,46267000
AFYA,6/30/2019,BRL,96210000,178493000,82283000,82283000,37202000,59584000,0,59008000,0,-16755000,1410000,15721000,0,0,0,0,23051000,1725000,0,21326000,0,28287000,0,16317000
AFYA,3/31/2019,BRL,90214000,144578000,54364000,54364000,58774000,31234000,0,85804000,0,-7718000,-6676000,9369000,0,0,0,0,51705000,2229000,0,49476000,0,70128000,0,49476000
AFYA,12/31/2018,BRL,11011524.68,22167030.34,11155505.66,11155505.66,6402341,4648946.06,0,0,0,0,0,0,0,0,0,0,6553292.02,264728.52,0,0,0,0,0,6288563.5
AFYA,9/30/2018,USD,44239000,92426000,48187000,48187000,402326.17,19421000,0,1022401.75,0,0,0,-693.67,0,0,0,0,438134.74,22767.65,0,415367.09,0,30045000,0,375242.38
AFYA,6/30/2018,USD,36555000,75235000,38680000,38680000,5743419.37,14583000,0,13483516.48,0,0,0,-60056.22,0,0,0,0,5841553.8,68234.09,0,5773319.7,0,24053000,0,5229235.88
AFYA,3/31/2018,USD,10003926.07,18518965.93,8515039.86,8515039.86,5923532.25,4307501.81,0,12595433.68,0,0,0,-60703.07,0,0,0,0,6115909.64,420995.41,0,5694914.23,0,5923532.25,0,5288717.08
AGBA,9/30/2020,USD,0,0,0,0,-87281,87281,0,87281,0,48,48,0,0,0,0,0,-86687,0,0,-86687,0,-87281,0,-86687
AGBA,6/30/2020,USD,0,0,0,0,-80962,80962,0,80962,0,334574,334574,0,0,0,0,0,260651,0,0,260651,0,602260,0,260651
AGBA,3/31/2020,USD,0,0,0,0,-132978,132978,0,132978,0,22,22,0,0,0,0,0,-132771,0,0,-132771,0,-132560,0,-132771
AGBA,12/31/2019,USD,0,0,0,0,-76671,76671,0,76671,0,505882,505882,0,0,0,0,0,429392,0,0,429392,0,935450,0,429392
AGBA,9/30/2019,USD,0,0,0,0,-136639,136639,0,136639,0,17,17,0,0,0,0,0,-136617,0,0,-136617,0,-136600,0,-136617
AGBA,6/30/2019,USD,0,0,0,0,-115319,115319,0,115319,0,31,31,0,0,0,0,0,-115288,0,0,-115288,0,-115260,0,-115288
AGBA,3/31/2019,USD,0,0,0,0,-10020,10020,0,10020,0,5,5,0,0,0,0,0,-10015,0,0,-10015,0,-10020,0,-10015
AI,1/31/2021,USD,36883000,49109000,12226000,12226000,-18499000,36634000,18748000,55382000,0,129000,129000,0,0,1850000,0,0,-16649000,203000,0,-16852000,0,-16649000,0,-16852000
AI,10/31/2020,USD,31260000,41341000,10081000,10081000,-14524000,29650000,16134000,55865000,0,288000,288000,0,0,0,0,0,-14814000,130000,0,-14944000,0,-13454000,0,-14944000
AI,7/31/2020,USD,29984000,40483000,10499000,10499000,-3325000,20045000,13264000,43808000,0,580000,580000,0,0,0,0,0,273000,123000,0,150000,0,-2297000,0,150000
AI,4/30/2020,USD,32109000,41618000,9509000,9509000,-30219000,44902000,17426000,71837000,0,1136000,1137000,0,0,0,0,0,-30336000,0,0,-30434000,0,-29483000,0,-30433000
AI,1/31/2020,USD,30352000,41283000,10931000,10931000,-10432000,28453000,12331000,51715000,0,1136000,1136000,0,0,0,0,0,-9698000,98000,0,-9796000,0,-10228000,0,-9796000
AI,10/31/2019,USD,28746000,38875000,10129000,10129000,-29883000,34756000,23873000,68758000,0,1000000,999000,0,0,0,0,0,-28728000,98000,0,-28825000,0,-29690000,0,-28826000
AI,7/31/2019,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87000,0,0,0,0,0,0
AIH,9/30/2020,CNY,179718000,281323000,101605000,101605000,-21345000,201063000,0,302668000,0,-7600000,0,7600000,0,0,0,0,-26920000,-9211000,0,-17709000,0,-19320000,0,-16914000
AIH,6/30/2020,CNY,95236000,166723000,71487000,71487000,-54121000,149357000,0,220844000,0,-4937000,0,4937000,0,0,0,0,-61786000,2607000,0,-64393000,0,-64433000,0,-61555000
AIH,3/31/2020,CNY,34856000,90954000,56098000,56098000,-94094000,128950000,0,185048000,0,-5124000,0,5124000,0,0,0,0,-98402000,-15287000,0,-83115000,0,-93278000,0,-79100000
AIH,12/31/2019,CNY,164348000,237892000,73544000,73544000,-58728000,156855000,0,156855000,0,-5646000,0,6034000,0,0,0,0,-62894000,-2295000,0,-60599000,0,235533000,0,-58418000
AIH,9/30/2019,CNY,164348000,237892000,73544000,73544000,7493000,156855000,0,230399000,0,-6222000,115308000,6222000,0,0,0,0,123314000,4551000,0,118763000,0,129536000,0,115674000
AIH,6/30/2019,CNY,145316000,212187000,66871000,66871000,17679000,127637000,0,194508000,0,-6096000,0,6096000,0,0,0,0,63795000,5890000,0,57455000,0,69891000,0,57295000
AIH,3/31/2019,CNY,4.82,7.11,2.29,2.29,0.63,4.19,0,6.48,0,0,0,-0.22,0,0,0,0,1.66,5440000,0,1.45,0,0.63,0,1.43
AIH,9/30/2018,USD,24.54,38.65,14.1,14.1,3.37,21.17,0,35.28,0,0,0,-0.5,0,0,0,0,3.5,788044.67,0,2.41,0,3.37,0,2.39
AIH,6/30/2018,USD,17278494.3,26717831.43,9439337.13,9439337.13,1468431.31,15810062.99,0,25249400.12,0,0,0,-313887.22,0,0,0,0,1737327.53,470380.92,0,1266946.61,0,1468431.31,0,1209883.02
AIH,3/31/2018,USD,18344558.55,28366292.49,10021733.94,10021733.94,1559031.92,16785526.63,0,26807260.57,0,0,0,-333253.72,0,0,0,0,1844518.75,499402.91,0,1345115.83,0,1559031.92,0,1284531.49
AKRO,12/31/2020,USD,0,0,0,0,-29783000,4074000,25709000,29783000,0,0,0,0,0,0,0,0,-29711000,0,0,-29711000,0,-29772000,0,-29711000
AKRO,9/30/2020,USD,0,0,0,0,-21538000,4159000,17379000,21538000,0,135000,135000,0,0,0,0,0,-21403000,0,0,-21403000,0,-21538000,0,-21403000
AKRO,6/30/2020,USD,0,0,0,0,-16454000,3417000,13037000,16454000,0,247000,247000,0,0,0,0,0,-16207000,0,0,-16207000,0,-16454000,0,-16207000
AKRO,3/31/2020,USD,0,0,0,0,-12379000,3588000,8791000,12379000,0,493000,493000,0,0,0,0,0,-11886000,0,0,-11886000,0,-12379000,0,-11886000
AKRO,12/31/2019,USD,0,0,0,0,-16221000,3083000,13138000,16221000,0,0,0,0,0,0,0,0,-15611000,0,0,-15611000,0,-16221000,0,-15611000
AKRO,9/30/2019,USD,0,0,0,0,-16309000,2424000,13885000,16309000,0,0,0,0,0,0,0,0,-15554000,0,0,-15554000,0,-16309000,0,-15554000
AKRO,6/30/2019,USD,0,0,0,0,-7609000,1649000,5960000,7609000,0,0,0,0,0,0,0,0,-7228000,0,0,-7228000,0,-7609000,0,-7228000
AKRO,3/31/2019,USD,0,0,0,0,-5512000,1449000,4063000,5512000,0,0,0,0,0,0,0,0,-5362000,0,0,-5362000,0,-5512000,0,-5362000
AKRO,12/31/2018,USD,0,0,0,0,-2968000,993000,1975000,2968000,0,0,0,0,0,0,0,0,-61472000,0,0,-61472000,0,-2968000,0,-61472000
AKRO,6/30/2018,USD,0,0,0,0,-8662000,242000,8420000,8662000,0,0,0,0,0,0,0,0,-8673000,0,0,-8673000,0,-8662000,0,-8673000
AKRO,3/31/2018,USD,0,0,0,0,-421000,195000,226000,421000,0,0,0,0,0,0,0,0,-421000,0,0,-421000,0,-421000,0,-421000
AKRO,12/31/2017,USD,0,0,0,0,-959909,280000,679909,959909,0,0,0,0,0,0,0,0,-959909,0,0,-959909,0,-959909,0,-959909
AKUS,9/30/2020,USD,0,0,0,0,-13119000,4478000,8641000,13119000,0,21000,21000,0,0,0,0,0,-13089000,0,0,-13089000,0,-12539000,0,-13089000
AKUS,6/30/2020,USD,0,0,0,0,-12601000,2664000,9937000,12601000,0,80000,80000,0,0,0,0,0,-12523000,0,0,-12523000,0,-12072000,0,-12523000
AKUS,3/31/2020,USD,0,0,0,0,-10538000,2504000,8034000,10538000,0,100000,100000,0,0,0,0,0,-10440000,0,0,-10440000,0,-10035000,0,-10440000
AKUS,12/31/2019,USD,0,0,0,0,-9730000,1143000,8587000,9730000,0,115000,115000,0,0,0,0,0,-9618000,0,0,-9618000,0,-9459000,0,-9618000
AKUS,9/30/2019,USD,0,0,0,0,-5264000,887000,4377000,5264000,0,70000,70000,0,0,0,0,0,-8210000,0,0,-8210000,0,-5028000,0,-8210000
AKUS,6/30/2019,USD,0,0,0,0,-5115000,749000,4366000,5115000,0,100000,100000,0,0,0,0,0,-2004000,0,0,-2004000,0,-4971000,0,-2004000
AKUS,3/31/2019,USD,0,0,0,0,-3774000,631000,0,0,0,0,128000,0,0,0,0,0,-5909000,0,0,0,0,-3728000,0,-5909000
ALEC,12/31/2020,USD,4865000,4865000,0,0,-52758000,13228000,44383000,57611000,0,0,0,0,4758000,579000,0,1503000,-52179000,0,0,6021000,-52659000,-52758000,-51255000,-52179000
ALEC,9/30/2020,USD,5901000,5901000,0,0,-53749000,15834000,43819000,59653000,0,0,0,0,5901000,1045000,0,1464000,-52704000,0,0,-52704000,-53456000,-53749000,-52285000,-52704000
ALEC,6/30/2020,USD,3170000,3170000,0,0,-46589000,15697000,34062000,49759000,0,0,0,0,3170000,1263000,0,1457000,-45326000,0,0,-45326000,-46262000,-46589000,-45132000,-45326000
ALEC,3/31/2020,USD,-9000,7162000,7171000,0,-42078000,14644000,34605000,49249000,0,0,0,0,-9000,2059000,0,1446000,-40019000,0,0,-40019000,-37379000,-42078000,-40632000,-40019000
ALEC,12/31/2019,USD,6001000,6001000,0,0,-32342000,12581000,25762000,38343000,0,0,0,0,0,1815000,0,1378000,-30527000,0,0,-727000,-30611000,-32342000,-30964000,-30527000
ALEC,9/30/2019,USD,2696000,2696000,28519000,28519000,-34149000,8326000,28519000,36845000,0,0,0,0,0,2411000,0,1278000,-31738000,0,0,-31738000,-31953000,-34149000,-32871000,-31738000
ALEC,6/30/2019,USD,6917000,6917000,25640000,25640000,-27152000,8429000,25640000,34069000,0,0,0,0,0,2592000,0,821000,-24560000,0,0,-24560000,-24227000,-27152000,-26331000,-24560000
ALEC,3/31/2019,USD,-15002000,5605000,20607000,20607000,-20761000,5759000,20607000,26366000,0,0,0,0,0,2201000,0,298000,-18560000,0,0,-18560000,-18410000,-20761000,-20463000,-18560000
ALEC,12/31/2018,USD,-14952000,9145000,24097000,24097000,-19017000,4065000,24097000,28162000,0,0,0,0,0,1644000,0,276000,-17373000,0,0,-17373000,-17275000,-19017000,-18741000,-17373000
ALEC,9/30/2018,USD,-13889000,6503000,20392000,20392000,-16815000,2926000,20392000,23318000,0,0,0,0,0,1498000,0,279000,-15317000,0,0,-15317000,-15365000,-16815000,-16536000,-15317000
ALEC,6/30/2018,USD,-8256500,7109000,14271000,14271000,-12231000,2522000,16818000,19340000,0,0,0,0,0,1110000,0,252000,-9779000,0,0,-9779000,-11059000,-12231000,-11979000,-11121000
